org_id, dup_id
rec-473-org, rec-473-dup-0
rec-399-org, rec-399-dup-0
rec-194-org, rec-194-dup-0
rec-457-org, rec-457-dup-0
rec-278-org, rec-278-dup-0
rec-335-org, rec-335-dup-0
rec-396-org, rec-396-dup-0
rec-116-org, rec-116-dup-0
rec-119-org, rec-119-dup-0
rec-99-org, rec-99-dup-0
rec-468-org, rec-468-dup-0
rec-90-org, rec-90-dup-0
rec-38-org, rec-38-dup-0
rec-46-org, rec-46-dup-0
rec-214-org, rec-214-dup-0
rec-215-org, rec-215-dup-0
rec-137-org, rec-137-dup-0
rec-94-org, rec-94-dup-0
rec-345-org, rec-345-dup-0
rec-285-org, rec-285-dup-0
rec-339-org, rec-339-dup-0
rec-441-org, rec-441-dup-0
rec-366-org, rec-366-dup-0
rec-44-org, rec-44-dup-0
rec-176-org, rec-176-dup-0
rec-417-org, rec-417-dup-0
rec-127-org, rec-127-dup-0
rec-413-org, rec-413-dup-0
rec-373-org, rec-373-dup-0
rec-114-org, rec-114-dup-0
rec-198-org, rec-198-dup-0
rec-352-org, rec-352-dup-0
rec-246-org, rec-246-dup-0
rec-149-org, rec-149-dup-0
rec-63-org, rec-63-dup-0
rec-361-org, rec-361-dup-0
rec-482-org, rec-482-dup-0
rec-124-org, rec-124-dup-0
rec-27-org, rec-27-dup-0
rec-164-org, rec-164-dup-0
rec-93-org, rec-93-dup-0
rec-390-org, rec-390-dup-0
rec-317-org, rec-317-dup-0
rec-123-org, rec-123-dup-0
rec-486-org, rec-486-dup-0
rec-489-org, rec-489-dup-0
rec-182-org, rec-182-dup-0
rec-106-org, rec-106-dup-0
rec-412-org, rec-412-dup-0
rec-354-org, rec-354-dup-0
